69,0,1,0,0,0,1.0,0,0,1,1,0,0,327,0
34,0,3,0,0,0,1.0,1,1,3,1,0,9,159,1
23,0,8,1,0,1,1.0,0,0,8,6,1,0,1174,0
43,0,1,0,0,2,76.0,0,0,1,1,2,0,1102,0
44,0,1,0,0,0,0.0,0,0,1,1,0,1,853,0
43,0,4,0,0,3,1.0,0,0,4,3,3,0,265,0
39,0,1,0,0,0,1.0,0,0,1,1,0,2,747,0
21,0,3,0,0,1,308.0,1,1,3,5,1,0,428,1
27,0,4,0,0,0,1.0,0,0,4,4,0,0,857,0
37,0,1,0,0,0,0.0,0,0,1,1,0,1,1186,0
41,0,4,0,0,0,1.0,0,0,4,2,0,0,905,0
37,0,1,0,0,0,0.0,0,0,1,1,0,0,739,0
25,0,10,0,0,3,1.0,0,0,10,9,3,0,463,0
31,0,5,0,0,6,1.0,1,1,5,4,6,0,241,1
21,0,4,0,0,0,2.0,0,0,4,5,0,0,861,0
43,0,1,0,0,1,1.0,0,0,1,2,1,0,1162,0
32,0,3,0,0,0,1.0,0,0,3,4,0,1,1056,0
27,0,3,0,0,8,1.0,1,1,3,3,8,16,116,0
36,0,3,0,0,3,95.0,0,0,3,1,3,0,53,0
33,0,10,0,0,0,1.0,1,1,10,6,0,38,215,0
55,0,1,0,0,0,1.0,0,0,1,1,0,1,823,0
26,0,8,0,2,6,382.0,0,0,8,8,6,0,81,0
29,0,2,0,0,0,1.0,0,0,2,2,0,0,1171,0
21,0,8,0,0,2,1.0,0,0,8,8,2,79,524,0
51,0,1,0,0,2,1.0,0,0,1,1,2,0,1128,0
51,0,2,0,0,7,1.0,0,0,2,2,7,1,529,0
25,0,10,0,0,9,1.0,1,1,10,9,9,6,8,1
35,1,8,0,4,13,1.0,1,1,8,3,13,0,9,1
49,0,1,0,0,0,0.0,0,0,1,1,0,0,973,0
29,0,4,0,0,0,1.0,0,0,4,3,0,0,1073,0
28,0,2,0,0,0,1.0,0,0,2,2,0,0,865,0
63,0,1,0,0,1,219.0,0,0,1,1,1,0,800,0
31,0,5,0,1,15,1.0,1,0,5,7,15,135,1077,1
30,0,7,0,0,0,0.0,0,0,7,3,0,23,1167,0
49,0,1,0,0,4,1.0,0,0,1,1,4,0,948,0
53,0,5,0,0,8,13.0,0,0,5,2,8,0,1039,0
35,0,3,0,0,5,1.0,0,0,3,2,5,0,1145,0
62,0,1,0,0,0,1.0,0,0,1,1,0,0,1179,0
33,0,1,0,0,0,1.0,0,0,1,1,0,0,754,0
56,0,1,0,0,0,1.0,0,0,1,1,0,3,916,0
45,0,1,0,0,6,1.0,1,1,1,1,6,241,323,1
22,0,4,0,0,1,1.0,0,0,4,6,1,0,1042,0
39,0,4,0,0,1,1.0,0,0,4,2,1,4,1121,0
40,0,2,0,0,2,15.0,0,0,2,1,2,0,989,0
22,0,8,0,0,0,1.0,0,0,8,6,0,57,73,0
26,0,4,0,0,1,1.0,1,1,4,3,1,1,11,1
27,0,7,0,0,1,44.0,1,1,7,8,1,0,258,1
32,0,2,0,0,0,1.0,0,0,2,1,0,0,1124,0
41,0,2,0,0,1,5185.0,0,0,2,2,1,1,1128,0
30,0,10,0,0,8,1.0,1,1,10,9,8,0,55,1
25,1,10,6,1,14,1.0,1,1,10,10,14,6,100,1
20,0,5,0,0,0,1.0,1,1,5,8,0,0,119,1
35,0,2,0,0,1,1.0,0,0,2,1,1,0,1098,0
25,0,8,0,0,9,1.0,1,1,8,9,9,0,145,1
71,0,7,0,0,12,804.0,0,0,7,3,12,0,1183,0
20,0,7,0,0,0,1.0,0,0,7,8,0,0,869,0
66,0,1,0,0,3,64.0,0,0,1,1,3,0,877,0
54,0,1,0,0,0,1.0,0,0,1,1,0,0,1082,0
44,0,1,0,0,0,2.0,0,0,1,1,0,0,955,0
19,0,4,0,0,1,10.0,1,1,4,7,1,0,104,1
24,0,2,0,0,1,137.0,0,0,2,3,1,0,503,0
30,0,2,0,0,1,1.0,0,0,2,2,1,0,935,0
39,0,1,0,0,0,1.0,1,1,1,1,0,1,52,1
30,0,4,0,0,0,1.0,0,0,4,2,0,5,497,0
31,0,5,0,0,0,1.0,0,0,5,2,0,38,770,0
39,0,4,0,0,1,1.0,0,0,4,3,1,106,392,0
59,0,9,0,0,14,265.0,1,1,9,4,14,0,178,1
43,0,1,0,0,1,30.0,0,0,1,1,1,0,960,0
34,0,5,0,0,0,0.0,0,0,5,5,0,15,441,0
37,0,2,0,0,3,0.0,0,0,2,1,3,1,102,0
31,0,7,0,0,1,1.0,0,0,7,8,1,0,900,0
30,0,2,0,0,1,1.0,0,0,2,2,1,0,97,0
31,0,10,0,0,13,0.0,1,1,10,7,13,0,55,1
56,0,9,0,0,8,79.0,0,0,9,3,8,0,67,0
52,0,9,0,0,3,2.0,0,0,9,6,3,0,977,0
64,0,1,0,0,2,48.0,0,0,1,1,2,0,732,0
42,0,3,0,0,6,5.0,0,0,3,1,6,0,408,0
25,0,4,0,0,2,1.0,0,0,4,5,2,2,359,0
30,0,2,0,0,1,20.0,0,0,2,2,1,0,864,0
28,0,1,0,0,2,161.0,0,0,1,2,2,0,946,0
37,0,2,0,0,2,222.0,0,0,2,1,2,1,823,0
24,0,2,0,0,0,1.0,0,0,2,3,0,1,784,0
30,0,5,0,0,4,36.0,1,1,5,5,4,0,37,1
31,0,2,0,0,1,1.0,1,0,2,3,1,0,1140,1
45,0,4,0,0,4,375.0,0,0,4,3,4,0,1073,0
20,1,10,0,0,1,0.0,0,0,10,10,1,3,119,0
43,0,1,0,0,0,0.0,0,0,1,1,0,1,1053,0
32,0,6,0,0,11,2.0,1,1,6,5,11,0,24,1
33,0,5,0,0,8,1.0,1,1,5,2,8,0,187,1
20,0,6,0,0,0,1.0,0,0,6,8,0,0,846,0
26,0,6,0,0,0,2.0,0,0,6,3,0,0,795,0
63,0,1,0,0,1,26.0,0,0,1,1,1,0,786,0
32,0,10,0,0,4,7.0,1,1,10,9,4,0,395,1
29,0,4,0,0,1,1.0,0,0,4,4,1,0,938,0
46,0,2,0,0,1,72.0,0,0,2,1,1,0,1177,0
55,0,1,0,0,3,52.0,0,0,1,1,3,0,1009,0
39,1,4,0,0,1,1672.0,0,0,4,4,1,3,780,0
30,0,7,0,0,1,1.0,0,0,7,8,1,70,367,0
48,0,2,0,0,2,1.0,0,0,2,1,2,0,918,0
22,0,2,0,0,1,1.0,0,0,2,4,1,0,547,0
49,0,6,0,0,6,56.0,0,0,6,2,6,0,744,0
31,0,5,0,0,0,1.0,0,0,5,4,0,2,719,0
23,0,3,0,0,0,2.0,0,0,3,5,0,0,935,0
32,0,7,0,0,5,1.0,0,0,7,3,5,0,1138,0
52,0,1,0,0,2,1.0,0,0,1,1,2,2,108,0
